EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	TRAIN_PRECISION	TRAIN_RECALL	TRAIN_ACCURACY	TRAIN_F-SCORE	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_ACCURACY	DEV_F-SCORE	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_ACCURACY	TEST_F-SCORE
0	15:39:17	0	0.1000	1.4896939930371198		_	_	_	_	0.9967074990272522	0.7845	0.7859	0.6464	0.7852	_	0.7859	0.7878	0.6486	0.7868
1	15:44:50	0	0.1000	1.2697289104690253		_	_	_	_	0.9520350694656372	0.7962	0.7957	0.6611	0.7959	_	0.798	0.798	0.6639	0.798
2	15:49:53	0	0.1000	1.2283837690016417		_	_	_	_	0.9254326820373535	0.803	0.8007	0.6693	0.8018	_	0.805	0.8034	0.6725	0.8042
3	15:54:46	0	0.1000	1.210439293904156		_	_	_	_	0.9196855425834656	0.8052	0.8044	0.6733	0.8048	_	0.8067	0.8064	0.6758	0.8065
4	15:59:38	0	0.1000	1.195129864975504		_	_	_	_	0.9059855937957764	0.8077	0.808	0.6776	0.8078	_	0.8087	0.8096	0.6795	0.8091
5	16:04:34	0	0.1000	1.191585169413711		_	_	_	_	0.9091842174530029	0.8066	0.8062	0.6756	0.8064	_	0.8079	0.8077	0.6776	0.8078
6	16:09:27	0	0.1000	1.1845910623565996		_	_	_	_	0.9015121459960938	0.8087	0.8072	0.6778	0.8079	_	0.8103	0.8094	0.6805	0.8098
7	16:14:20	0	0.1000	1.1826262523775917		_	_	_	_	0.9007008075714111	0.8089	0.8089	0.6791	0.8089	_	0.8101	0.8107	0.6812	0.8104
8	16:19:12	0	0.1000	1.1796296510134567		_	_	_	_	0.899172306060791	0.8093	0.8086	0.6792	0.8089	_	0.8103	0.8102	0.681	0.8102
9	16:24:04	0	0.1000	1.1781817099585878		_	_	_	_	0.8962274789810181	0.8089	0.8091	0.6792	0.809	_	0.8106	0.8114	0.6821	0.811
10	16:28:56	0	0.1000	1.1780943221250284		_	_	_	_	0.8949276208877563	0.8087	0.8095	0.6794	0.8091	_	0.8101	0.8114	0.6818	0.8107
11	16:33:49	1	0.1000	1.173281687835416		_	_	_	_	0.8916153907775879	0.8112	0.8095	0.6812	0.8103	_	0.812	0.8107	0.6826	0.8113
12	16:38:43	0	0.1000	1.1759191943688676		_	_	_	_	0.8941641449928284	0.8093	0.8086	0.6792	0.8089	_	0.8105	0.8102	0.6812	0.8103
13	16:43:32	1	0.1000	1.1765834859573598		_	_	_	_	0.8871429562568665	0.8105	0.8111	0.6818	0.8108	_	0.8117	0.813	0.684	0.8123
14	16:48:21	2	0.1000	1.1774541224939805		_	_	_	_	0.8913924098014832	0.8115	0.8098	0.6816	0.8106	_	0.8124	0.8111	0.6831	0.8117
15	16:53:13	3	0.1000	1.1771123696467385		_	_	_	_	0.8902247548103333	0.8098	0.811	0.6812	0.8104	_	0.8107	0.8122	0.6828	0.8114
16	16:58:04	0	0.0500	1.1384988200446502		_	_	_	_	0.8743529915809631	0.813	0.8133	0.6851	0.8131	_	0.8145	0.8152	0.6875	0.8148
17	17:03:03	0	0.0500	1.1263987543413483		_	_	_	_	0.8718159198760986	0.8143	0.814	0.6866	0.8141	_	0.8155	0.8157	0.6886	0.8156
18	17:08:06	0	0.0500	1.1205801842560026		_	_	_	_	0.8686562180519104	0.8149	0.8148	0.6876	0.8148	_	0.8163	0.8166	0.6898	0.8164
19	17:13:19	0	0.0500	1.1162045855718485		_	_	_	_	0.8681461215019226	0.8149	0.8148	0.6875	0.8148	_	0.8159	0.8163	0.6893	0.8161
20	17:18:34	0	0.0500	1.116332904839602		_	_	_	_	0.865177571773529	0.8143	0.8154	0.6876	0.8148	_	0.8162	0.8175	0.6904	0.8168
21	17:23:12	1	0.0500	1.109595660791405		_	_	_	_	0.8614745736122131	0.8166	0.8168	0.6901	0.8167	_	0.8181	0.8186	0.6925	0.8183
22	17:28:33	0	0.0500	1.1059005795082084		_	_	_	_	0.8632717728614807	0.8158	0.8167	0.6895	0.8162	_	0.8169	0.8183	0.6915	0.8176
23	17:33:58	0	0.0500	1.1054226435174976		_	_	_	_	0.8621951341629028	0.8162	0.8159	0.6893	0.816	_	0.8181	0.8182	0.6922	0.8181
24	17:39:23	0	0.0500	1.1045927493131087		_	_	_	_	0.8599244952201843	0.8171	0.8173	0.691	0.8172	_	0.8183	0.8189	0.6929	0.8186
25	17:44:50	0	0.0500	1.1055228431266075		_	_	_	_	0.8610221147537231	0.8162	0.8161	0.6893	0.8161	_	0.8175	0.818	0.6916	0.8177
26	17:50:16	1	0.0500	1.103333836649181		_	_	_	_	0.8551244139671326	0.8183	0.819	0.693	0.8186	_	0.8192	0.8203	0.6946	0.8197
27	17:55:47	0	0.0500	1.1021937876562173		_	_	_	_	0.8570197224617004	0.8184	0.8179	0.6922	0.8181	_	0.8198	0.8197	0.6946	0.8197
28	18:01:19	0	0.0500	1.1019482544400716		_	_	_	_	0.8568053841590881	0.8179	0.8179	0.6919	0.8179	_	0.8186	0.8193	0.6934	0.8189
29	18:06:57	0	0.0500	1.0965015964019438		_	_	_	_	0.8557453751564026	0.8181	0.8179	0.692	0.818	_	0.8194	0.8198	0.6944	0.8196
30	18:12:32	0	0.0500	1.09960603731251		_	_	_	_	0.8556448221206665	0.8177	0.8175	0.6915	0.8176	_	0.8192	0.8195	0.6939	0.8193
31	18:18:08	1	0.0500	1.098853771560306		_	_	_	_	0.8535978198051453	0.8187	0.8189	0.6932	0.8188	_	0.8195	0.8202	0.6947	0.8198
32	18:23:43	2	0.0500	1.0980130256833291		_	_	_	_	0.8542594313621521	0.8182	0.8186	0.6926	0.8184	_	0.8192	0.8198	0.6942	0.8195
33	18:29:20	3	0.0500	1.0970123402395298		_	_	_	_	0.8538771867752075	0.8182	0.8189	0.6929	0.8185	_	0.8192	0.8201	0.6944	0.8196
34	18:34:38	0	0.0250	1.080904967589516		_	_	_	_	0.8467743396759033	0.8196	0.8198	0.6945	0.8197	_	0.8209	0.8215	0.6966	0.8212
35	18:40:01	0	0.0250	1.0750094811990936		_	_	_	_	0.8455585837364197	0.8198	0.8199	0.6946	0.8198	_	0.8213	0.8218	0.6971	0.8215
36	18:44:57	0	0.0250	1.0717447172514323		_	_	_	_	0.8449203372001648	0.8208	0.8206	0.6959	0.8207	_	0.8214	0.8217	0.6972	0.8215
